attendance,cgpa,fee_delay,assignments,engagement,risk_score
100,8.01,11,75,8.0,15.15
22,7.16,25,74,6.4,85.85
65,6.81,27,63,5.7,43.23
92,8.06,11,84,7.8,15.57
91,9.23,2,88,6.7,8.68
75,5.59,33,76,6.7,42.88
82,8.39,12,75,8.0,18.61
75,5.93,13,67,4.5,36.61
83,8.55,11,82,8.1,16.27
7,7.01,42,68,5.6,100.0
86,9.84,2,76,7.9,7.75
62,5.68,47,77,4.1,66.74
86,9.33,10,82,8.0,11.67
55,8.72,109,71,5.9,66.21
89,9.61,7,78,6.9,10.12
75,7.27,12,69,4.0,29.45
83,8.31,0,78,6.6,15.6
85,8.6,0,89,7.1,11.87
72,7.48,12,68,5.8,30.12
60,6.36,18,82,4.2,50.36
84,8.27,6,71,6.5,18.23
69,7.3,39,82,6.4,39.2
34,7.51,97,69,5.2,97.62
20,9.24,6,82,5.3,58.36
1,9.13,41,77,4.3,96.45
48,4.55,98,80,7.7,100.0
91,8.28,14,85,8.1,15.53
3,9.37,1,85,5.4,72.41
87,9.76,14,83,6.6,11.79
12,8.66,16,88,5.6,76.85
7,9.15,79,63,6.3,100.0
11,5.94,22,75,5.7,100.0
79,6.49,46,62,5.5,42.57
79,5.82,30,64,6.3,40.26
19,8.17,62,63,6.0,96.8
17,4.78,99,89,6.0,100.0
72,5.99,38,63,6.7,45.89
83,7.81,2,88,7.9,16.26
94,9.57,8,73,6.3,10.79
22,8.19,36,81,7.4,79.21
33,4.65,8,69,6.5,85.16
41,8.47,34,84,6.5,57.07
61,6.37,19,61,5.9,52.49
75,6.79,48,80,5.3,41.7
10,7.28,3,66,4.1,87.41
96,9.72,11,70,8.0,9.9
86,8.13,7,73,6.3,18.36
39,4.97,74,72,4.7,100.0
26,7.47,65,76,7.4,94.84
79,6.05,34,69,6.1,39.98
12,7.81,117,69,5.3,100.0
72,6.71,29,77,4.1,38.26
81,7.96,8,71,7.2,20.85
25,4.57,95,84,5.3,100.0
59,8.39,50,87,7.6,48.15
61,6.83,23,61,4.2,51.29
99,8.91,7,79,7.6,10.59
93,9.5,9,81,6.5,10.44
92,8.23,13,85,9.0,14.46
60,7.18,29,77,5.7,50.42
44,5.86,58,64,7.3,88.4
73,6.38,23,65,6.1,38.86
93,7.82,13,84,6.3,18.15
94,8.75,4,82,8.7,9.78
73,5.74,42,80,6.1,46.18
18,5.24,61,82,8.1,100.0
99,8.91,8,75,8.4,10.72
1,7.54,90,84,5.9,100.0
71,5.69,20,66,7.0,41.88
75,7.49,12,60,5.0,29.43
60,6.31,38,79,6.0,60.08
50,6.32,59,62,7.3,79.09
19,8.0,72,66,8.4,100.0
65,5.69,22,72,4.1,46.77
51,6.96,108,81,5.2,84.08
7,9.32,111,78,6.4,100.0
68,5.67,28,75,4.3,46.2
73,5.6,36,70,4.1,46.34
65,6.0,47,76,5.8,52.31
87,8.86,3,84,7.1,11.7
63,5.88,35,65,5.7,60.81
52,7.15,52,83,8.6,64.18
99,9.19,10,86,8.0,9.35
27,9.17,86,72,4.6,84.51
74,6.19,34,81,5.4,40.78
13,5.31,29,87,9.0,100.0
79,6.3,24,73,6.6,34.75
69,6.73,47,82,5.2,45.01
96,9.89,8,79,7.4,7.69
77,6.3,42,60,4.5,43.51
63,6.97,35,63,5.7,53.71
68,5.7,17,83,6.4,41.36
70,6.63,23,84,5.2,37.19
15,7.29,58,63,7.1,100.0
73,7.01,48,68,6.5,42.77
10,8.46,11,89,5.8,78.63
6,7.89,57,85,8.9,100.0
5,7.52,23,81,6.3,100.0
64,5.52,42,69,6.4,64.53
86,9.96,4,81,8.4,6.82
52,6.7,51,66,5.9,71.45
2,5.45,81,71,7.8,100.0
91,7.62,9,80,8.5,16.98
76,6.51,33,81,4.7,37.75
89,9.46,8,85,8.6,8.87
31,5.6,118,76,6.9,100.0
31,8.62,68,69,5.4,80.61
86,8.43,6,84,6.4,15.32
94,9.0,11,84,8.6,10.84
82,8.46,6,89,7.4,15.22
2,4.86,86,75,6.8,100.0
93,9.9,8,76,6.3,9.27
40,9.01,112,64,6.3,76.34
15,8.71,55,76,4.4,90.83
16,8.48,109,75,7.4,100.0
22,9.45,110,64,8.7,86.03
12,4.96,27,77,7.4,100.0
27,7.71,26,74,6.1,75.87
60,5.54,43,75,6.9,67.35
75,7.43,48,72,4.7,39.51
53,7.59,81,61,6.9,75.08
46,9.11,110,72,5.4,69.34
10,8.72,102,80,7.4,100.0
92,8.06,8,70,7.2,16.8
98,8.34,6,70,8.5,12.9
96,9.89,2,71,8.0,6.34
65,6.31,32,81,4.2,45.39
62,6.29,17,71,6.2,49.86
67,5.76,10,65,5.1,42.06
70,6.9,41,72,5.8,42.82
60,6.81,48,82,4.9,60.35
23,8.21,39,78,5.8,80.63
99,9.25,10,78,8.2,9.93
67,6.72,22,76,4.4,39.28
52,4.8,27,68,4.9,74.53
40,6.98,37,65,4.1,74.9
67,5.76,44,60,4.3,53.22
76,6.22,33,72,4.8,40.22
72,6.49,43,84,4.9,42.92
78,6.72,18,60,5.0,33.48
15,5.49,54,77,5.5,100.0
65,6.68,15,68,4.2,39.61
41,8.36,115,77,5.4,81.01
68,6.71,13,67,6.0,36.96
83,8.16,14,72,7.7,20.5
84,8.91,1,84,8.0,11.02
89,9.34,12,78,8.6,11.43
45,4.79,93,80,4.0,100.0
89,9.65,7,82,8.0,8.6
55,4.7,70,61,7.4,91.19
86,9.94,6,83,7.1,8.32
97,8.32,6,86,6.5,12.74
86,9.08,6,75,7.1,13.05
10,7.73,63,64,5.2,100.0
78,6.55,25,83,6.5,33.36
91,9.74,6,83,6.5,8.56
86,7.56,0,85,7.5,16.3
7,4.91,79,79,6.4,100.0
72,7.22,36,69,6.3,38.58
23,4.99,5,88,5.6,90.34
45,7.73,25,78,5.5,57.07
10,8.81,77,78,8.8,100.0
55,5.68,58,67,8.4,77.33
21,8.79,8,72,7.5,62.51
83,9.06,2,82,6.2,12.73
95,9.62,11,78,8.5,9.04
60,5.88,45,64,5.5,67.9
62,7.09,41,62,6.1,56.18
51,6.84,111,88,8.6,82.14
59,8.13,22,77,6.0,41.45
94,7.68,10,84,8.6,15.68
14,5.74,46,72,5.5,100.0
99,8.86,0,71,7.1,9.97
56,5.36,81,81,6.3,88.21
24,5.19,7,86,5.2,89.22
13,8.85,93,88,6.3,100.0
62,7.29,26,75,4.8,47.03
100,9.15,13,75,6.9,12.55
84,9.8,2,78,7.7,8.34
69,5.94,18,70,6.7,40.99
81,7.92,5,83,8.6,17.54
80,9.26,3,73,6.7,13.77
58,7.61,27,69,4.6,49.04
5,5.04,33,82,7.8,100.0
48,6.46,17,81,5.7,59.9
66,7.13,26,74,6.3,38.93
61,6.42,12,66,5.4,48.09
87,8.2,9,70,8.7,16.85
49,4.99,20,85,5.7,70.7
11,9.27,55,78,4.1,88.15
85,9.98,5,86,6.4,8.3
66,5.87,44,81,6.9,50.03
98,8.33,1,70,8.9,11.09
54,9.47,37,73,7.4,39.51
82,9.09,2,81,6.1,13.15
80,9.55,12,75,6.2,15.37
100,9.65,11,77,6.6,10.14
35,9.17,42,76,8.1,58.51
91,9.01,11,84,8.6,11.3
93,8.86,6,88,8.1,9.89
16,7.02,69,81,7.7,100.0
74,6.59,15,78,5.1,33.21
72,7.41,36,60,4.1,38.91
26,9.24,60,61,7.8,75.07
22,7.6,79,73,6.4,100.0
82,7.98,1,70,8.8,17.02
82,9.56,14,87,8.8,11.81
93,9.18,5,76,7.9,9.95
83,8.88,11,86,7.3,14.98
94,8.25,11,85,8.1,14.02
26,8.06,63,73,6.4,89.09
63,6.53,22,74,4.6,49.63
60,7.21,34,64,5.1,53.88
40,4.9,39,73,5.5,92.06
36,8.74,95,84,5.2,80.84
83,9.82,4,87,8.9,7.16
10,5.7,17,82,5.4,100.0
16,5.48,111,79,8.6,100.0
8,8.95,28,63,8.8,84.45
94,9.7,8,82,6.8,8.8
64,7.25,35,79,5.5,49.13
73,7.42,27,80,4.6,33.1
98,8.92,0,81,8.4,7.58
42,8.48,25,62,8.9,53.06
86,8.35,3,85,6.1,14.89
80,7.63,9,85,7.2,21.5
66,6.21,25,79,4.6,43.26
90,7.78,13,76,7.5,19.16
19,5.58,51,63,7.6,100.0
93,9.51,0,81,8.9,5.64
73,6.0,43,71,4.4,46.33
35,4.77,105,68,5.8,100.0
16,8.7,1,79,8.3,62.83
91,9.25,3,83,7.7,8.69
45,4.84,63,63,4.6,98.99
58,7.57,116,78,5.0,73.02
78,6.18,36,80,4.3,39.28
84,7.95,2,74,8.1,16.74
74,5.78,15,76,5.6,37.52
90,9.26,9,72,6.9,12.7
9,9.15,107,82,5.3,100.0
57,5.01,66,89,8.1,81.27
66,6.7,22,61,5.1,41.84
63,6.67,28,61,4.4,53.0
85,7.98,2,80,7.9,15.74
68,6.32,20,80,6.2,39.54
95,7.96,12,79,7.3,16.58
77,6.05,30,71,5.0,39.66
86,8.22,9,75,8.5,16.61
91,9.63,13,75,7.7,11.27
98,7.71,7,75,7.8,15.44
23,6.88,17,83,7.8,81.01
71,5.98,36,69,5.5,45.78
89,8.94,10,71,7.2,14.47
66,6.38,30,61,4.8,46.09
61,6.73,27,73,5.1,52.27
71,5.96,32,79,7.0,42.64
83,8.79,12,77,7.6,16.55
97,8.64,2,85,7.0,10.09
100,7.78,1,85,7.8,11.83
72,6.13,12,67,5.7,37.12
71,7.31,37,77,5.1,38.25
61,5.52,16,83,5.0,53.87
59,8.51,14,64,6.7,36.36
51,7.62,52,73,5.5,64.57
6,8.3,31,62,5.5,97.83
20,6.36,3,70,7.5,81.71
100,8.67,12,86,9.0,11.03
22,9.26,93,88,8.9,85.64
100,8.29,11,81,7.1,14.12
32,4.93,11,64,8.6,85.09
55,5.1,97,73,4.9,96.07
72,6.85,23,70,6.8,35.86
32,5.58,104,67,8.6,100.0
90,9.49,5,84,6.2,9.63
50,5.52,117,63,8.6,97.23
35,9.38,75,61,8.0,70.05
77,6.98,43,68,5.8,39.57
72,5.99,37,69,6.8,44.81
33,6.87,38,85,4.6,81.24
82,8.94,5,76,6.0,15.35
22,6.6,48,86,6.1,100.0
61,7.37,49,82,6.4,55.57
74,7.46,43,82,6.7,36.54
95,8.84,12,84,7.3,12.57
91,8.69,2,86,6.2,11.5
96,7.78,4,73,8.6,14.25
22,5.29,83,74,8.1,100.0
20,5.95,113,64,8.3,100.0
17,5.38,35,63,7.6,100.0
91,8.07,11,73,7.1,17.69
89,8.64,8,82,6.2,14.62
69,6.92,30,67,4.4,40.51
93,7.96,4,86,6.1,14.72
99,9.01,5,80,6.1,10.71
80,7.78,7,70,7.7,21.54
83,8.69,9,75,8.7,15.36
100,9.86,7,83,7.5,6.69
64,5.79,27,74,4.8,55.94
32,9.49,2,69,6.9,43.47
2,8.15,108,65,4.3,100.0
43,4.93,84,83,8.8,100.0
98,8.15,0,78,6.0,12.75
98,9.2,5,79,8.9,7.99
76,5.55,11,63,6.2,37.57
17,5.94,70,76,8.4,100.0
3,9.39,68,89,6.5,98.91
68,6.04,33,73,4.9,46.02
18,7.56,16,89,7.9,79.19
16,8.98,31,87,5.2,75.66
59,8.47,85,86,5.7,61.84
80,7.97,12,70,6.7,23.01
31,7.74,85,77,8.2,93.8
27,8.82,38,76,6.8,69.34
81,8.43,1,75,6.8,16.36
68,5.99,44,77,4.7,49.26
3,8.69,63,84,8.4,100.0
13,7.94,22,75,7.7,86.15
3,8.61,88,60,7.7,100.0
41,6.1,49,69,5.5,86.1
97,9.45,14,81,9.0,9.67
40,8.08,118,66,7.4,85.04
37,9.43,50,89,6.0,56.98
65,7.19,41,62,6.8,44.98
78,5.65,21,75,4.7,37.78
1,5.13,102,83,5.2,100.0
4,8.11,8,86,6.5,87.55
37,9.38,58,62,8.0,62.09
39,8.08,34,83,6.5,62.47
83,9.37,12,75,8.1,13.78
34,7.68,1,84,7.9,52.33
27,7.97,89,81,5.5,98.62
82,9.54,11,74,8.1,13.1
88,7.76,12,81,7.6,18.86
67,6.36,44,62,4.8,49.73
66,5.85,19,69,6.1,44.46
70,6.4,11,65,4.5,36.95
61,6.02,34,71,4.4,60.46
90,7.91,6,83,8.3,14.92
99,7.78,11,86,8.5,14.41
79,6.03,14,66,6.5,33.9
36,6.68,94,69,5.3,100.0
71,7.09,42,75,4.3,41.19
27,7.12,12,68,5.3,74.83
100,7.82,3,82,6.1,14.01
41,9.0,58,65,5.9,64.04
100,9.59,9,85,6.3,9.02
98,8.59,13,72,8.4,13.99
70,5.55,20,60,6.5,44.38
93,7.55,3,80,8.0,15.16
82,8.85,11,76,8.3,15.85
99,7.6,2,71,8.5,14.11
89,7.64,1,71,7.4,16.98
89,8.19,3,86,7.0,13.81
82,8.69,13,82,8.1,16.62
25,6.08,14,86,4.5,85.07
2,8.85,94,72,6.2,100.0
61,6.84,47,65,6.5,60.51
87,8.62,6,75,6.3,15.41
100,9.4,3,77,8.5,7.03
75,6.67,39,69,5.7,40.84
19,5.45,36,81,8.7,100.0
28,4.59,27,75,6.9,100.0
80,8.85,8,82,6.1,16.68
90,9.6,7,74,8.7,9.04
68,5.75,11,84,6.3,39.18
69,6.53,34,81,5.0,42.16
65,7.05,27,82,6.4,39.26
79,7.2,29,60,4.1,34.13
79,7.41,12,73,6.3,26.04
43,4.74,76,60,4.1,100.0
83,9.78,10,86,6.8,11.02
94,9.21,10,70,8.3,11.61
42,9.14,12,69,4.0,43.39
88,8.39,6,76,6.8,15.6
86,9.7,0,74,8.8,7.23
6,5.62,19,77,7.4,100.0
12,6.01,55,62,5.5,100.0
56,7.37,79,85,6.6,70.89
50,5.15,106,72,5.0,100.0
35,4.93,51,80,4.8,100.0
17,7.19,20,63,7.4,89.44
66,5.71,35,80,5.3,49.01
78,7.16,23,76,4.5,31.0
73,6.43,42,62,4.7,44.93
50,8.49,114,68,7.9,71.27
95,8.62,12,76,6.7,14.92
4,8.31,105,69,8.7,100.0
89,9.34,0,73,6.2,10.24
56,4.52,113,73,5.7,99.48
41,4.64,92,63,7.1,100.0
43,8.99,74,73,8.9,64.98
89,7.77,12,79,8.7,17.83
57,4.54,56,65,4.4,84.96
60,7.43,46,67,5.5,56.82
84,9.94,8,79,6.5,10.43
29,5.57,28,62,5.0,95.25
8,6.21,61,62,7.1,100.0
72,7.31,44,82,4.2,39.26
53,4.78,63,71,7.9,88.11
12,8.71,57,69,7.5,94.63
90,8.4,1,74,7.5,13.06
53,7.17,12,62,6.4,49.77
100,8.36,11,86,8.7,12.07
61,6.0,43,77,4.4,63.76
45,7.72,52,86,6.2,67.36
59,7.61,97,84,8.8,68.91
39,8.82,4,70,7.8,43.06
22,9.23,95,85,6.2,88.65
77,5.51,48,68,4.4,48.23
80,8.08,6,76,7.8,19.04
4,6.7,116,64,6.9,100.0
74,7.23,42,70,5.3,39.37
77,5.61,35,75,6.1,42.8
75,6.47,47,61,6.8,44.64
85,7.5,1,78,7.5,18.09
54,5.59,57,65,8.2,78.97
66,7.37,23,81,6.7,35.56
67,5.7,22,80,5.3,44.3
88,7.91,1,82,8.8,13.71
82,8.79,14,79,9.0,16.15
75,6.76,28,62,5.3,37.78
11,7.74,10,84,7.6,83.23
97,7.75,8,71,6.1,17.69
62,6.57,20,82,6.4,48.01
95,8.2,11,79,8.8,14.17
48,9.33,63,78,5.7,55.1
37,8.79,103,85,8.9,76.94
75,5.59,12,81,4.9,36.32
22,5.17,64,80,8.2,100.0
54,8.36,99,87,8.5,66.46
87,8.35,2,81,8.4,12.86
45,8.53,29,64,5.4,53.87
82,8.92,1,70,6.8,14.32
50,9.3,30,70,4.7,42.79
40,4.57,1,66,7.0,71.61
51,7.21,92,79,6.5,81.78
49,5.13,31,85,6.4,74.84
32,7.18,4,72,5.1,63.58
78,6.79,39,64,5.8,39.23
56,8.52,2,87,8.9,27.89
67,7.01,17,83,5.6,35.34
77,6.02,22,72,4.0,37.21
95,9.69,8,77,8.2,8.22
12,9.3,95,77,7.5,98.34
4,5.68,40,69,8.4,100.0
6,6.59,68,87,5.4,100.0
77,6.41,23,74,5.5,35.42
96,8.69,10,86,7.1,12.34
78,7.09,22,77,5.5,30.91
86,8.89,8,70,8.8,13.76
98,8.1,2,74,7.6,12.79
69,5.98,30,70,4.9,45.12
29,6.04,79,66,5.6,100.0
67,5.66,44,76,6.0,51.79
47,5.79,40,65,6.3,78.56
81,7.69,4,75,7.3,20.34
80,9.31,4,75,8.8,12.02
72,7.21,23,81,4.6,33.4
89,8.17,13,77,6.7,18.33
23,9.22,117,86,5.9,87.75
97,7.82,4,78,8.0,13.83
99,9.32,5,88,6.6,8.21
42,9.5,30,76,7.9,44.81
78,5.8,40,70,5.1,43.54
97,7.99,11,71,7.9,16.3
77,5.72,35,78,5.4,41.98
58,8.2,10,64,7.8,36.48
13,6.94,98,68,8.7,100.0
71,5.85,48,73,5.5,49.72
69,6.95,28,75,6.5,38.38
43,4.58,22,72,8.4,80.81
7,6.54,114,62,4.3,100.0
32,6.8,112,76,8.2,100.0
73,6.62,45,71,4.6,43.82
22,7.04,95,66,4.6,100.0
29,8.51,109,65,5.5,92.7
17,4.96,119,83,5.0,100.0
94,9.23,5,70,8.8,9.57
42,4.86,70,82,8.5,100.0
69,5.68,38,69,4.8,49.3
17,8.44,7,69,8.4,69.08
63,6.2,14,60,6.4,49.3
38,7.33,25,84,7.9,64.73
39,5.45,61,66,4.5,99.51
77,7.41,27,71,5.2,32.15
64,6.61,40,74,5.1,56.13
95,8.39,7,72,7.2,14.34
66,5.69,28,68,6.3,48.15
75,5.88,34,79,4.3,41.99
66,5.85,25,67,4.3,46.69
18,7.6,84,86,8.2,100.0
9,6.86,21,62,5.0,100.0
75,6.5,15,70,5.0,34.06
81,9.82,1,70,8.5,9.15
87,8.14,11,70,8.5,17.83
39,8.52,95,86,4.3,80.2
39,5.21,16,89,6.7,76.49
8,5.21,34,77,8.8,100.0
19,7.99,66,87,7.4,96.45
81,8.28,10,85,7.3,18.23
76,5.83,17,81,5.5,36.1
33,7.13,107,76,8.4,99.76
75,6.13,42,76,6.2,43.43
64,5.56,22,60,4.2,56.76
67,5.89,12,70,5.4,41.37
48,9.39,61,81,5.3,53.32
73,6.99,49,60,4.6,44.53
71,5.99,22,79,6.0,40.15
83,9.56,6,80,8.1,10.4
58,5.38,6,86,6.8,50.72
95,8.62,8,78,8.8,11.76
54,4.82,23,71,5.2,70.02
77,6.66,36,74,4.5,38.21
79,7.33,46,68,4.6,37.84
73,5.92,22,82,6.2,38.73
95,7.63,5,74,6.5,16.91
78,5.99,48,66,5.9,45.59
72,6.03,31,67,5.2,43.56
93,7.85,11,85,7.7,16.16
87,8.6,9,86,7.6,14.01
97,9.68,0,85,8.7,4.17
37,6.57,92,68,7.7,100.0
59,8.78,16,74,5.0,34.62
71,7.05,48,77,6.4,42.71
43,6.83,34,61,5.3,72.33
64,7.4,17,84,4.8,39.82
70,6.0,21,80,6.3,40.06
64,6.26,38,75,6.1,57.43
87,9.31,2,83,7.8,9.04
70,6.74,42,81,5.8,42.87
57,6.65,61,82,8.5,67.4
24,8.11,37,79,5.7,79.63
43,8.92,58,69,6.4,62.31
92,8.85,10,86,8.3,11.49
69,6.4,15,68,6.1,38.36
84,9.06,7,81,6.4,13.94
77,6.22,28,74,4.6,37.88
77,6.48,48,76,4.8,42.58
6,6.55,0,76,8.8,90.97
23,6.56,6,69,7.9,78.75
32,9.42,23,70,4.2,53.79
63,7.04,22,82,5.0,45.33
95,9.69,1,76,6.3,7.68
92,9.37,6,84,7.6,8.92
83,8.03,1,85,8.0,15.23
100,7.56,2,76,7.1,14.6
81,8.08,10,75,6.0,21.38
38,8.84,106,88,4.3,77.43
83,7.97,0,74,7.0,17.31
68,5.67,10,78,4.7,40.24
90,8.34,12,74,7.8,16.55
17,4.63,30,86,6.8,100.0
35,9.28,52,76,5.6,62.82
54,7.88,3,63,8.1,37.65
53,6.43,88,85,6.8,84.65
13,5.35,80,80,8.9,100.0
99,8.44,7,72,8.6,12.34
94,9.68,9,87,7.3,8.15
12,4.75,89,72,8.0,100.0
62,6.27,39,62,4.8,61.13
27,8.35,42,76,6.2,76.31
79,5.92,43,69,4.8,43.45
83,9.84,10,82,6.2,11.69
77,6.96,33,84,5.1,34.66
78,6.11,47,65,5.5,44.83
73,5.84,21,65,6.1,40.96
66,6.38,45,79,5.6,48.6
88,9.1,7,78,8.7,11.08
68,6.31,11,65,4.7,38.69
65,7.29,20,74,4.8,37.09
85,9.21,1,87,6.3,10.43
99,8.52,1,77,7.8,10.28
66,6.14,14,70,5.7,41.31
18,6.23,19,88,8.5,92.78
91,9.36,1,70,6.4,10.25
13,8.87,74,83,8.2,96.01
75,6.77,33,81,5.7,37.03
73,7.25,20,78,4.1,32.03
76,5.53,48,69,5.1,48.63
79,7.1,23,71,6.0,31.41
89,9.35,2,70,7.1,10.49
81,8.26,7,76,6.0,19.51
21,6.8,48,60,8.6,100.0
63,5.95,13,68,4.7,49.71
91,7.83,6,78,6.5,17.06
94,8.08,4,85,8.3,12.34
18,8.23,80,85,7.9,100.0
32,8.79,110,79,4.0,84.83
9,6.22,3,64,6.8,97.82
97,9.72,7,71,6.4,9.68
88,8.93,8,76,7.4,13.4
100,8.58,14,84,9.0,12.17
88,8.97,7,81,7.3,12.37
81,10.0,11,86,7.8,10.1
64,6.07,38,73,5.6,59.02
67,6.16,30,63,5.9,46.36
15,8.53,101,69,4.1,100.0
9,4.77,81,60,6.4,100.0
63,6.05,29,69,6.3,56.3
93,9.63,1,76,8.5,6.43
0,5.03,4,75,5.3,100.0
22,6.06,106,76,6.6,100.0
10,7.64,95,62,6.7,100.0
96,9.35,9,77,7.0,10.64
4,5.0,94,76,7.3,100.0
81,7.83,3,73,8.8,18.41
88,9.52,11,79,8.8,10.34
85,8.09,13,71,7.6,20.03
0,6.53,47,77,4.4,100.0
67,7.37,14,77,5.2,33.17
10,5.3,19,79,8.6,100.0
9,8.23,29,68,5.7,93.38
83,8.77,5,83,8.6,12.94
66,7.32,15,70,6.2,35.07
90,9.08,9,88,8.4,10.29
35,6.02,12,84,4.9,73.34
72,6.51,22,80,5.0,36.78
58,6.67,65,65,5.0,72.01
84,9.42,8,79,7.0,12.4
69,5.51,23,65,4.3,46.01
82,8.77,12,78,8.7,15.93
94,9.39,0,77,6.0,8.75
29,6.91,18,67,4.2,77.84
62,7.03,31,76,4.8,50.82
88,8.71,4,81,8.9,11.28
34,7.74,109,70,7.8,93.74
71,6.73,39,71,6.6,42.12
51,7.33,67,70,4.2,73.28
71,6.06,35,65,6.0,45.52
78,5.61,22,72,5.0,38.63
89,9.39,12,78,8.6,11.24
79,5.64,42,76,6.6,43.1
58,9.37,15,61,5.2,32.09
99,7.52,11,89,7.1,16.16
76,6.91,42,71,5.9,39.8
22,8.71,96,72,7.3,95.9
79,5.65,47,73,5.2,45.51
70,5.83,34,79,6.3,45.12
1,7.04,32,67,5.8,100.0
56,6.02,54,88,6.4,71.24
47,8.77,60,74,5.7,60.82
73,7.29,27,62,6.1,35.82
80,7.6,10,80,8.5,21.49
94,8.83,4,81,8.0,10.08
8,8.53,38,85,5.0,93.11
75,5.98,37,78,6.7,41.97
35,8.58,62,78,8.0,72.16
72,5.65,13,60,4.0,40.74
40,5.92,19,89,6.9,71.28
71,7.33,39,71,4.5,39.48
91,8.98,10,78,6.5,13.61
82,9.32,0,83,6.6,10.76
67,7.16,44,78,5.5,43.52
77,7.28,11,73,5.7,27.6
75,5.53,25,73,5.9,41.62
74,5.57,43,61,4.5,49.1
48,4.57,22,63,8.9,76.19
28,5.41,62,60,6.8,100.0
99,8.58,11,71,7.9,13.74
23,7.12,85,74,4.2,100.0
88,9.81,11,70,6.4,12.14
36,8.68,81,74,5.2,79.45
87,8.3,13,81,9.0,16.06
14,4.83,57,68,5.2,100.0
86,9.31,4,72,7.2,11.69
51,8.44,75,63,5.6,67.54
27,5.07,108,88,6.5,100.0
98,8.53,13,70,6.2,16.2
49,9.23,70,77,6.3,57.77
66,7.03,31,69,6.8,41.3
30,7.85,12,85,8.7,61.24
30,5.82,95,84,7.6,100.0
85,8.76,4,70,6.9,14.86
61,6.04,23,78,5.6,54.49
79,6.08,29,61,4.2,39.34
98,9.28,10,75,8.3,10.23
12,8.59,50,78,8.0,91.85
23,6.88,27,73,7.9,87.21
41,6.12,67,71,4.7,93.44
3,5.64,94,62,7.0,100.0
48,5.77,71,62,4.6,91.64
80,7.94,6,72,7.6,20.29
50,6.83,37,77,7.7,63.69
66,6.54,23,76,6.8,40.6
54,6.69,82,79,8.0,78.99
75,5.64,15,65,6.3,38.64
4,8.07,115,66,8.6,100.0
93,8.6,11,82,8.9,12.58
28,8.8,3,76,8.7,51.2
75,5.65,48,69,5.6,48.68
59,5.21,117,82,4.8,89.99
81,9.55,6,73,7.6,12.34
37,4.78,38,74,4.8,95.97
80,9.58,13,80,7.0,14.36
63,7.46,35,75,6.8,48.23
90,7.98,5,75,6.0,17.15
84,7.98,1,89,7.5,15.05
4,5.13,31,61,4.7,100.0
9,8.88,29,80,4.5,84.75
94,9.15,8,82,6.4,11.26
68,6.51,17,76,6.8,37.53
84,9.9,5,70,7.5,9.96
41,8.98,18,87,5.7,46.0
88,7.82,11,83,6.8,18.66
91,7.68,1,72,8.1,15.48
76,5.56,24,60,4.9,42.1
37,7.84,63,81,7.0,78.32
23,9.24,85,71,6.7,86.88
74,5.64,36,81,4.6,44.18
91,8.93,8,82,6.2,12.91
20,5.67,6,63,5.3,92.1
70,7.39,45,81,6.1,40.38
72,5.76,44,68,5.9,48.89
75,7.38,46,73,4.1,38.99
75,7.47,45,78,7.0,36.88
80,9.14,10,74,6.6,16.54
100,8.73,12,80,6.6,13.44
81,8.8,7,80,7.3,15.55
16,4.89,66,89,6.0,100.0
68,6.87,49,81,7.0,44.87
77,6.74,40,60,6.7,40.23
6,7.75,47,89,6.9,100.0
70,7.13,26,65,6.1,37.77
16,7.95,22,81,6.0,83.1
35,7.07,2,85,5.7,58.3
38,6.62,54,72,5.3,86.67
100,9.22,10,89,6.9,9.72
31,8.07,103,74,7.5,93.25
52,5.24,52,63,6.6,82.92
89,9.16,7,87,6.6,11.15
57,5.55,107,60,8.5,90.11
28,4.53,99,88,8.6,100.0
96,7.84,10,70,7.0,17.55
100,9.4,3,74,6.3,9.13
68,6.42,47,83,5.5,47.18
54,7.54,64,79,5.1,66.64
48,8.73,112,84,4.2,70.26
80,8.46,0,81,8.0,14.66
60,6.08,14,65,4.9,52.24
47,6.49,76,79,7.3,85.65
30,4.54,58,77,4.3,100.0
98,8.74,12,70,8.6,13.15
82,9.71,6,82,7.0,10.67
77,5.93,16,60,6.6,36.81
7,6.52,3,61,8.9,96.39
37,7.28,25,60,6.1,70.44
25,7.31,71,79,5.1,100.0
77,7.14,21,60,6.4,32.63
50,8.11,105,78,8.8,73.0
82,9.31,1,78,7.9,10.7
20,5.1,46,81,6.5,100.0
100,9.47,3,77,7.2,7.82
24,8.87,18,73,6.1,64.4
85,8.65,8,75,8.8,14.5
78,6.65,45,67,5.6,41.42
56,5.44,44,63,6.6,73.92
93,9.16,6,70,6.9,11.84
10,9.1,31,84,8.1,79.66
18,9.26,55,73,7.5,80.01
3,7.4,42,75,7.2,100.0
98,8.49,8,78,6.4,13.71
72,6.33,27,60,4.2,41.61
54,4.74,79,77,9.0,92.56
87,7.53,8,74,6.9,20.33
49,7.4,32,74,5.6,59.65
75,7.04,47,68,4.6,41.58
47,9.01,37,81,5.2,49.09
75,5.6,46,84,4.6,46.48
71,5.81,44,60,5.5,50.21
71,5.79,27,77,4.3,43.0
72,6.71,43,73,7.0,42.37
66,6.15,32,81,6.7,44.98
88,8.6,4,86,7.5,12.26
8,7.93,95,83,4.1,100.0
90,9.53,10,70,8.3,11.06
