attendance,cgpa,fee_delay,participation,assignments,risk_score
66,8.28,42,9.8,3,29.39
82,3.46,85,8.2,34,44.48
21,1.32,21,7.8,10,64.71
8,6.04,86,4.6,17,66.32
72,1.81,82,8.9,68,50.65
29,7.76,97,1.7,24,54.52
73,8.98,120,6.9,93,40.82
97,0.77,74,0.2,20,59.09
85,9.75,118,2.6,63,37.5
98,0.29,89,9.5,56,47.37
46,2.48,41,5.9,76,48.31
89,2.75,26,5.7,71,32.8
6,1.32,118,5.5,11,82.29
62,2.24,119,2.6,7,68.52
68,0.9,35,4.5,92,39.95
22,2.11,73,6.6,51,67.75
36,7.28,14,3.9,45,34.5
20,8.05,26,9.1,28,42.76
19,7.34,62,3.6,21,55.82
53,0.35,44,3.4,33,58.41
12,2.47,117,2.6,21,78.28
72,2.3,18,6.5,78,32.79
56,1.41,31,8.2,81,44.51
74,3.6,57,0.3,43,47.05
33,0.3,8,1.6,6,65.37
84,8.66,82,9.9,31,29.42
65,4.34,9,4.3,59,34.85
15,2.02,116,4.3,87,80.54
0,1.29,84,7.8,25,72.72
80,8.9,91,2.0,46,38.83
91,7.81,70,2.5,23,33.34
74,9.79,42,9.6,66,20.48
11,1.52,26,5.9,65,61.73
96,6.25,104,6.5,46,39.23
36,6.5,108,6.1,83,52.2
79,3.41,89,5.9,11,53.58
39,1.26,89,0.1,95,67.17
38,6.31,64,6.7,35,50.77
23,4.93,1,6.6,77,44.59
100,5.77,102,5.0,9,42.57
77,8.4,87,3.4,57,34.35
35,9.91,21,5.3,79,28.71
60,9.0,88,3.1,44,43.98
66,2.54,108,2.7,58,60.57
68,6.62,103,1.3,94,46.03
80,6.65,13,1.3,45,28.36
31,8.13,16,8.3,43,33.27
86,7.29,77,1.2,96,34.24
30,3.23,91,2.5,53,66.82
24,3.84,65,6.1,90,57.9
88,3.9,0,3.1,86,25.23
53,8.74,98,8.9,66,42.06
64,3.2,52,3.1,80,48.82
7,3.15,50,3.6,59,63.82
34,6.67,107,6.9,19,61.55
18,7.3,44,7.8,12,51.68
59,7.67,91,4.4,52,43.42
71,1.26,41,5.2,25,51.96
22,5.86,27,7.7,55,48.92
77,0.48,41,8.2,37,53.39
97,4.98,63,4.0,41,33.14
46,3.65,10,9.1,67,38.46
24,7.0,101,5.6,42,59.74
52,3.16,120,9.8,53,62.44
56,9.67,3,4.0,48,20.75
91,9.35,86,7.9,27,33.66
56,3.78,53,4.7,96,39.97
29,4.99,66,4.5,29,58.32
92,8.73,109,8.8,50,30.84
37,4.55,88,9.4,21,65.13
80,9.55,40,1.8,56,30.03
90,3.38,0,1.6,59,35.37
33,0.38,3,2.1,89,49.47
7,3.45,82,3.0,42,70.94
26,5.93,120,4.0,28,67.85
58,3.72,36,0.8,47,47.47
45,7.55,38,5.0,29,40.94
11,8.29,17,3.1,70,40.06
0,3.23,89,9.7,5,75.76
94,9.96,29,6.7,32,9.38
73,8.1,117,6.2,38,43.53
61,3.52,1,6.4,43,39.03
53,1.27,6,9.0,37,43.29
58,1.97,10,8.3,81,33.5
67,3.53,92,0.7,65,56.28
24,4.45,84,4.1,15,69.7
94,5.41,27,4.2,50,31.33
44,8.2,68,6.0,41,49.61
52,5.23,73,5.4,14,54.27
28,3.87,5,3.9,37,46.89
76,9.52,66,3.8,83,27.26
66,0.71,86,5.2,66,57.59
8,5.58,76,1.1,70,64.05
100,4.51,9,9.5,71,14.79
55,4.52,49,1.7,80,47.16
77,2.46,120,0.6,5,68.53
68,9.49,17,9.3,42,18.23
59,1.7,91,6.4,26,61.66
31,4.9,103,6.5,91,54.54
97,0.41,25,6.0,79,33.43
23,3.15,93,4.9,68,67.71
44,4.75,62,7.8,76,49.5
54,7.82,34,3.2,25,38.79
43,4.9,64,4.1,85,48.73
22,0.17,18,3.3,54,64.01
32,8.33,51,8.7,48,38.19
36,6.92,97,6.5,39,48.39
86,5.69,21,1.4,34,35.54
59,9.94,71,1.6,85,38.55
42,7.01,95,3.6,17,53.47
86,2.44,20,4.7,22,35.69
87,7.42,39,2.5,6,31.03
49,0.43,90,2.6,8,70.34
20,7.35,111,1.3,48,69.12
86,3.17,117,4.2,16,54.64
57,0.06,5,9.1,37,47.43
5,0.24,13,1.0,2,71.71
23,0.31,63,5.5,87,60.7
34,8.97,99,2.8,48,53.46
88,3.16,92,8.1,82,45.55
24,7.5,114,2.6,41,61.58
54,3.85,88,5.6,5,57.2
20,4.26,95,8.3,38,67.57
17,2.83,115,3.6,94,73.47
14,3.87,39,6.7,8,57.51
14,1.54,51,7.1,4,66.2
19,8.08,110,6.8,12,61.11
66,0.49,109,0.6,93,62.58
10,2.21,41,8.6,12,61.13
72,7.6,1,6.8,59,23.38
22,6.2,63,6.5,22,51.3
68,7.66,88,1.5,19,43.34
54,1.31,1,9.7,91,36.92
57,1.47,74,6.5,63,50.97
68,2.32,58,0.1,61,52.05
67,7.95,107,9.0,54,42.0
13,1.83,101,6.4,29,75.03
50,2.49,91,6.0,82,56.23
41,5.46,44,8.6,26,44.2
5,6.9,86,8.5,24,64.82
54,5.01,23,2.3,97,36.91
47,3.29,55,2.4,58,53.18
71,8.71,111,3.1,58,41.22
67,6.25,2,1.7,6,35.83
26,9.59,79,8.5,43,47.36
41,5.49,49,4.0,36,48.23
58,6.04,98,7.9,47,50.58
61,4.02,13,6.7,60,38.24
30,1.42,23,1.4,81,58.2
78,0.71,26,6.8,35,43.26
7,6.95,61,9.4,97,46.9
31,9.95,115,5.4,0,61.33
33,3.69,107,5.3,92,53.43
92,0.33,63,5.1,37,51.98
13,9.83,53,4.7,100,44.09
92,4.68,60,7.9,34,40.98
100,8.2,112,1.4,79,38.02
84,6.61,93,6.0,88,33.59
68,2.6,63,3.5,36,50.86
56,1.05,106,9.2,63,57.03
85,7.42,54,7.5,96,24.99
96,7.06,3,5.1,81,15.23
26,3.75,31,7.1,54,54.56
76,7.39,42,6.8,41,29.08
80,8.61,22,6.7,29,22.81
66,8.08,17,9.9,39,29.09
69,2.49,64,8.9,48,43.97
46,4.03,50,1.2,69,54.74
19,8.28,37,9.9,53,38.43
46,1.85,85,5.6,54,59.2
59,4.17,29,4.4,74,39.43
40,5.37,64,9.5,17,53.8
16,3.15,86,1.6,55,71.27
18,3.26,97,9.1,0,68.87
51,8.65,69,0.8,50,48.9
15,1.69,60,4.8,25,69.17
79,1.16,99,9.3,42,54.69
78,8.78,108,3.9,77,38.85
15,1.6,18,7.0,49,57.55
69,6.55,104,6.5,53,40.14
57,0.87,17,2.2,96,44.23
54,3.92,56,7.1,1,51.9
54,8.29,79,9.8,79,34.11
78,6.29,28,1.5,40,37.37
40,9.18,2,8.3,30,24.98
95,9.26,9,1.5,97,8.5
29,8.14,59,1.3,73,47.19
50,6.43,55,5.9,31,45.54
14,7.59,27,2.0,58,45.85
35,5.17,12,3.4,86,41.81
59,0.25,62,5.8,74,55.25
42,0.87,40,0.8,39,59.49
96,0.9,100,8.5,95,42.39
8,3.43,16,1.6,93,54.09
39,7.15,84,5.5,54,48.93
16,1.95,111,3.0,44,77.71
81,2.01,13,7.6,94,30.68
46,8.81,8,3.1,26,32.82
14,2.17,118,7.4,51,81.68
45,9.62,81,8.3,2,44.34
65,9.17,18,5.7,32,20.81
2,4.34,54,8.3,71,56.54
51,7.91,117,6.2,45,49.98
53,3.95,48,0.2,79,48.44
15,4.5,28,4.6,5,54.99
77,5.46,89,6.0,32,47.31
25,0.27,83,2.2,51,67.08
1,4.27,29,3.0,89,58.31
43,5.36,77,2.5,97,50.44
47,0.01,65,0.2,86,68.89
78,3.34,80,8.4,1,51.77
2,4.92,39,7.7,99,49.56
77,5.74,33,9.4,5,30.11
17,3.28,117,6.0,50,73.07
70,5.55,18,3.4,26,40.2
14,4.3,68,7.1,36,58.93
8,6.35,92,2.9,25,67.67
10,7.04,105,6.7,34,63.76
13,2.65,9,9.3,33,52.4
0,5.64,3,1.7,97,45.91
84,6.17,3,5.8,18,26.56
97,1.84,50,4.9,56,39.9
11,4.9,7,2.8,52,53.5
7,7.74,105,4.4,13,69.23
53,7.5,85,5.6,49,41.21
25,7.37,117,8.6,85,52.62
43,8.52,61,0.1,16,47.03
50,0.85,71,3.4,69,60.63
84,2.81,38,4.8,58,40.58
95,8.46,41,1.9,51,26.91
41,0.62,25,4.7,22,57.69
84,2.51,46,4.2,97,35.64
83,4.49,113,3.5,17,50.94
29,3.67,9,4.0,48,45.26
10,8.69,89,8.7,46,54.89
41,6.31,100,2.9,57,51.07
22,2.65,79,3.2,23,67.52
17,9.13,4,1.6,53,38.28
12,3.17,2,8.5,57,46.48
74,7.43,81,3.8,85,36.68
75,0.8,100,3.9,89,53.12
39,7.46,72,4.1,100,44.09
12,6.49,73,7.2,40,56.69
6,7.6,31,3.0,14,51.95
99,7.56,64,2.1,25,27.76
90,8.47,76,1.3,15,36.07
93,7.69,67,8.4,30,33.41
96,0.87,11,4.0,53,34.75
27,8.3,68,9.8,97,36.9
41,4.29,52,3.3,55,56.16
71,9.24,50,2.0,14,34.8
82,2.42,9,3.0,3,41.32
94,6.43,103,3.4,86,41.31
66,6.4,52,1.8,34,40.87
62,6.54,97,7.6,3,47.61
49,7.42,41,9.2,68,33.65
97,4.74,38,6.6,16,30.78
34,5.77,117,1.5,48,64.94
61,6.65,21,0.8,58,35.78
1,9.34,103,6.6,94,47.24
30,7.5,47,4.2,97,40.98
89,5.82,110,7.2,26,48.7
67,9.39,93,3.9,35,43.48
48,1.11,84,4.2,94,62.81
43,2.04,86,1.6,83,56.61
36,8.58,29,6.2,77,34.04
61,5.13,83,7.8,43,46.03
67,3.76,65,3.4,9,51.09
95,4.85,76,0.5,9,43.49
50,5.22,64,7.2,77,40.32
84,7.66,48,0.2,68,32.83
42,0.27,99,5.6,12,73.23
77,6.1,61,4.3,48,41.01
70,3.36,20,9.5,79,32.14
55,9.31,115,4.5,53,46.11
20,5.8,69,9.5,18,58.41
96,9.99,2,8.2,98,4.66
54,0.74,43,0.9,84,45.41
55,9.67,86,3.9,76,41.91
65,9.38,119,0.9,62,44.7
41,9.61,19,7.9,26,30.43
99,7.49,68,10.0,70,18.25
80,8.83,39,1.7,24,30.53
87,0.59,67,5.4,13,56.51
68,5.15,56,6.7,81,41.16
98,0.14,0,3.5,8,37.5
14,0.32,59,7.9,85,63.08
19,2.38,48,7.5,9,67.22
46,1.44,95,6.5,85,62.2
26,7.07,38,8.7,81,39.83
43,4.5,94,7.2,70,51.81
58,3.94,72,2.4,50,51.96
34,5.5,13,3.5,3,46.77
27,3.21,106,1.7,30,76.07
22,1.2,37,1.1,78,56.95
56,0.48,105,3.2,49,64.54
41,3.09,11,5.1,65,50.63
16,2.42,61,0.0,33,66.01
69,4.92,44,7.4,33,39.03
66,9.38,85,9.5,66,36.14
75,4.84,16,6.2,65,28.8
16,2.71,82,4.1,73,64.91
8,2.17,82,1.4,3,79.05
67,2.42,39,7.2,34,48.41
94,2.68,88,7.8,67,39.37
98,6.36,1,0.1,51,23.72
65,3.29,42,8.7,21,47.36
98,8.16,11,7.3,83,9.36
38,0.53,56,6.6,11,57.72
56,7.52,79,5.7,34,50.42
2,2.61,89,5.8,70,72.38
33,4.45,30,2.3,70,44.91
65,9.3,62,5.0,56,32.57
11,1.33,16,4.6,69,56.8
22,1.06,69,3.0,85,63.4
92,5.0,48,6.5,21,41.09
4,0.34,37,0.9,36,68.35
9,2.65,47,10.0,86,54.84
96,1.03,101,1.5,27,63.69
79,1.07,118,4.4,44,62.92
19,6.26,90,3.2,26,63.28
46,2.6,37,3.9,91,43.17
97,9.69,95,7.1,94,25.6
53,6.39,50,4.4,2,47.48
63,6.03,10,0.2,57,29.46
65,0.65,74,6.8,64,51.52
62,1.28,30,2.6,0,54.37
66,2.13,1,8.3,63,37.59
73,0.55,1,4.6,60,42.0
69,9.14,2,4.8,89,16.37
60,7.5,89,7.2,25,43.37
15,0.4,36,1.4,46,67.43
94,9.73,79,4.6,20,31.5
89,2.45,101,8.4,10,54.4
71,2.43,116,6.7,20,63.46
84,7.6,19,5.1,45,19.73
30,6.32,92,5.5,14,63.9
79,8.7,108,1.8,85,41.21
70,5.88,103,1.2,27,53.3
96,5.41,120,6.0,87,40.32
76,0.27,50,2.6,91,52.65
4,8.93,41,3.5,26,53.51
57,1.3,24,7.6,26,48.97
51,3.43,66,6.0,57,52.79
69,7.77,57,7.0,86,31.64
19,8.51,111,3.0,64,62.15
80,4.32,116,0.3,93,53.27
54,1.76,85,6.2,44,57.95
25,4.84,23,1.4,34,55.04
53,8.95,14,6.8,10,28.63
64,7.55,114,9.1,68,44.29
81,9.84,40,3.5,86,20.24
70,2.52,2,2.6,48,40.92
70,2.23,19,4.5,35,43.65
31,6.77,0,4.7,34,37.63
54,1.05,57,5.1,68,53.62
50,1.3,106,7.3,100,64.01
21,2.29,99,6.8,46,66.79
38,1.03,89,4.6,79,61.53
94,9.92,100,1.8,47,33.55
13,9.8,98,2.3,57,58.5
40,7.81,100,8.2,3,52.61
11,4.89,13,4.4,98,43.82
31,9.41,80,9.5,8,48.24
48,2.53,99,8.8,61,59.57
77,3.5,5,7.2,28,35.61
78,3.75,81,4.6,48,46.06
13,9.8,113,6.0,63,57.87
44,5.8,57,2.7,57,48.02
96,9.65,36,0.8,97,14.23
4,1.36,30,3.4,31,68.73
75,7.82,89,3.8,29,47.69
8,3.42,61,4.2,67,60.34
43,1.38,86,2.8,60,64.35
40,6.58,30,5.8,1,43.19
68,4.46,43,6.1,55,36.3
42,3.61,33,6.4,70,46.35
66,9.96,25,6.3,23,22.72
52,3.45,59,6.0,41,53.25
10,6.3,89,1.5,99,63.12
51,0.17,21,2.8,93,51.63
29,5.06,56,9.6,19,50.73
24,6.64,74,7.6,71,51.69
95,5.87,61,5.3,49,33.07
41,7.51,59,7.2,82,38.54
15,8.13,25,1.8,71,46.01
4,4.4,116,8.3,25,79.29
27,6.69,22,0.5,17,51.85
29,9.12,76,10.0,25,43.01
1,9.17,45,9.0,87,42.32
17,5.86,71,6.2,16,55.85
69,8.32,117,9.5,38,42.79
11,6.32,21,9.0,47,43.75
12,4.59,9,7.8,8,51.83
78,4.68,24,9.3,50,29.25
58,6.66,47,6.3,18,41.08
66,4.3,72,1.7,4,56.08
91,6.14,81,1.0,40,41.24
1,0.25,79,9.9,98,70.61
57,2.12,34,6.4,14,50.73
59,2.07,104,0.2,73,63.91
1,2.69,65,6.8,25,69.05
28,1.6,77,7.4,47,65.63
89,8.99,37,7.7,64,17.14
20,8.44,69,5.2,43,53.87
39,3.41,2,8.3,75,38.83
65,2.01,85,9.7,68,51.14
98,5.67,65,5.4,32,34.56
38,6.45,36,9.8,59,39.04
98,0.5,100,8.2,4,54.48
51,5.42,92,7.1,60,51.36
1,7.66,25,4.9,66,46.31
96,5.37,4,8.7,11,21.19
34,5.18,4,5.8,76,38.78
56,8.04,2,6.2,83,13.75
32,1.32,49,6.7,15,63.26
75,2.97,105,8.6,45,52.97
46,4.48,103,7.2,49,58.34
76,9.61,95,7.9,35,34.43
79,7.14,23,8.0,17,26.38
6,4.18,68,1.3,15,68.35
28,7.59,13,5.8,32,39.79
24,1.92,22,5.1,80,54.43
29,8.48,102,3.4,81,45.8
22,3.39,32,8.3,17,57.94
53,5.73,90,9.1,100,43.86
33,3.34,67,9.8,87,51.26
89,1.71,93,3.1,79,50.69
6,3.23,15,5.5,11,63.51
42,3.77,16,1.8,5,48.19
87,2.76,24,2.1,91,30.1
83,7.76,96,7.2,100,34.2
69,9.17,46,0.5,25,36.86
70,3.53,30,3.2,94,39.76
28,1.27,16,5.2,35,58.77
81,1.27,36,7.0,98,36.58
63,0.38,53,6.7,82,49.37
62,8.37,48,7.9,99,26.25
93,3.0,11,5.9,42,34.73
25,3.13,83,1.0,3,70.76
85,9.33,22,8.5,74,15.45
7,8.76,100,7.6,49,57.83
13,4.87,98,9.9,10,71.14
52,7.25,55,1.9,38,51.58
24,7.43,42,10.0,47,42.1
95,2.49,12,8.9,91,25.21
77,4.5,120,9.9,100,40.72
71,6.26,80,8.4,97,38.59
5,5.27,66,8.8,11,61.5
22,5.08,95,1.2,27,65.56
13,0.22,80,0.2,69,74.77
81,0.93,119,6.4,33,60.33
39,9.37,74,6.4,23,46.97
56,9.55,103,7.0,22,43.55
84,9.2,85,2.6,92,30.06
77,4.02,23,6.8,52,36.03
71,2.44,99,7.7,48,54.78
62,3.73,56,7.8,6,44.1
39,1.9,61,3.8,77,57.1
24,5.79,27,0.0,94,45.05
19,1.59,10,4.2,86,53.37
57,5.0,114,6.1,47,53.73
44,7.97,115,0.9,24,55.43
79,3.28,73,4.0,18,49.97
27,6.63,110,9.9,9,67.31
100,9.75,74,9.0,75,10.7
53,8.64,39,9.0,93,30.34
92,5.49,97,9.6,71,40.01
100,6.22,96,8.4,18,35.86
32,4.44,31,8.7,7,50.82
56,0.85,8,1.4,34,53.76
45,7.25,45,0.2,47,41.39
7,0.22,34,7.8,37,67.61
91,3.67,95,6.0,16,57.46
32,5.24,51,7.3,92,46.19
92,5.62,57,6.5,9,36.03
5,6.18,120,3.6,19,72.94
9,6.69,104,4.1,11,69.03
9,0.53,48,9.8,61,66.76
89,0.94,55,1.7,55,57.01
3,9.0,11,2.5,76,45.2
86,4.18,79,8.7,92,40.61
74,6.98,57,7.1,11,36.96
89,5.41,104,9.2,76,43.05
54,2.09,88,4.7,16,70.07
27,8.01,14,1.6,78,40.27
32,8.3,11,6.2,22,39.69
53,6.01,27,6.9,98,33.62
46,4.6,37,5.1,61,42.05
85,0.88,80,7.3,32,55.01
80,9.91,111,5.6,26,37.13
63,8.82,92,5.8,15,38.38
16,6.6,119,3.3,37,63.81
99,0.48,43,2.1,16,44.87
78,1.99,41,8.9,95,36.58
95,2.69,107,4.7,34,52.43
97,2.62,53,1.0,68,41.73
85,7.35,9,8.8,75,11.66
91,6.18,19,5.5,8,31.72
7,7.23,50,2.0,36,60.23
49,9.99,117,4.8,30,51.92
70,0.95,117,3.2,45,60.96
55,1.91,88,7.2,37,61.84
58,2.68,83,7.0,44,56.4
90,0.71,58,9.5,62,45.09
69,9.69,61,6.5,99,26.51
100,6.22,103,5.3,84,37.57
52,6.23,82,9.7,15,53.14
71,2.69,51,3.8,38,46.49
9,7.06,54,2.2,35,55.49
20,1.31,23,4.1,6,66.22
93,6.08,70,4.7,10,36.82
72,0.85,62,2.9,91,48.89
79,8.74,33,8.0,30,24.96
92,2.33,12,7.5,14,39.53
67,2.12,65,9.6,38,49.89
76,9.08,20,0.2,18,28.39
100,5.55,74,9.3,60,28.47
25,0.75,102,8.7,28,74.61
67,1.88,112,5.6,60,59.07
91,5.19,72,0.9,64,36.05
91,7.5,64,5.2,83,27.08
64,0.08,81,0.3,30,64.56
92,2.83,25,2.4,85,32.07
24,4.03,85,1.5,35,67.35
100,3.41,25,5.6,83,26.68
32,0.79,99,6.4,45,72.81
83,3.76,7,5.7,88,27.2
18,9.42,78,8.7,73,42.57
90,7.19,4,1.9,26,29.49
77,3.02,110,6.2,93,52.26
11,2.52,92,9.0,39,70.02
48,5.51,86,3.7,74,43.58
73,1.29,69,9.0,75,53.11
42,1.95,26,7.6,36,48.39
78,5.02,50,3.1,69,39.25
98,5.41,59,9.7,57,30.2
41,7.43,70,4.1,51,50.32
30,6.66,17,9.5,55,39.65
54,2.56,9,4.5,14,46.12
2,6.02,69,8.9,62,52.59
91,8.96,46,8.9,70,18.27
14,8.65,115,4.1,1,65.1
25,1.5,93,1.3,10,73.43
64,5.72,0,8.1,84,25.91
87,0.73,11,7.4,81,33.99
0,1.3,96,6.5,35,76.07
25,0.43,37,6.6,74,61.15
50,0.18,28,6.9,57,46.97
28,5.43,115,8.0,13,63.87
75,6.77,93,2.8,41,47.94
55,6.1,105,2.9,29,60.35
70,3.79,8,4.1,48,33.8
82,6.61,39,3.4,8,38.32
21,2.18,105,8.6,72,69.53
6,4.69,15,7.7,36,50.2
82,7.46,80,5.8,85,30.43
32,8.58,110,4.6,81,51.12
73,3.45,3,6.6,76,33.28
9,9.95,84,4.3,14,57.73
98,4.08,104,1.1,63,44.96
22,9.63,90,8.4,33,49.46
62,4.65,48,6.0,59,39.94
40,5.44,57,9.8,35,45.05
78,2.64,35,1.1,27,49.72
41,0.15,81,5.9,38,69.06
81,4.26,20,5.0,3,35.46
86,9.39,109,8.5,97,24.34
60,3.33,83,4.0,0,56.46
27,9.62,111,1.9,16,62.13
97,0.57,10,6.3,95,22.48
30,8.18,72,4.3,20,48.34
76,3.16,68,1.0,94,41.96
3,5.35,24,6.0,85,49.82
86,8.0,33,9.8,93,14.17
93,1.97,105,1.2,0,62.09
71,9.32,12,3.9,43,21.88
10,1.59,19,5.9,81,53.71
56,7.19,97,0.9,72,52.1
67,5.08,69,0.7,89,42.65
16,6.9,50,0.2,62,59.3
24,9.1,70,0.7,21,54.11
88,9.58,25,2.3,99,12.95
65,3.06,72,9.6,34,44.43
40,0.83,84,3.4,97,62.36
65,1.81,53,7.7,27,53.96
36,7.67,104,0.8,3,64.48
74,9.37,11,3.6,79,18.32
34,5.1,40,9.0,17,50.61
48,8.96,57,1.2,57,42.47
81,4.22,62,6.8,71,38.17
66,7.65,85,2.3,16,46.21
13,8.51,61,9.0,75,43.18
74,7.55,3,9.1,39,18.44
46,8.12,47,0.5,84,45.07
3,6.49,76,7.2,25,64.59
76,5.12,57,1.3,82,37.27
27,7.66,9,7.6,76,33.53
57,5.93,13,6.7,83,29.27
23,1.37,12,7.1,46,53.46
15,7.53,95,9.1,2,64.15
77,5.41,116,2.9,61,50.55
48,5.31,32,9.7,75,32.33
22,8.43,96,8.5,78,52.75
70,1.12,105,6.0,45,64.32
74,1.67,61,8.3,53,40.06
87,0.39,65,5.1,32,49.95
54,0.4,7,1.6,47,53.33
60,2.41,21,6.9,53,42.61
81,9.12,48,8.2,64,24.64
90,6.61,74,8.3,70,27.78
14,5.34,100,1.0,29,75.96
19,2.49,72,8.1,38,69.75
84,0.36,12,0.8,50,45.57
63,7.48,37,7.4,17,34.57
42,7.33,67,3.8,35,56.13
9,2.59,104,4.5,74,71.82
100,8.63,24,7.8,24,19.66
10,6.46,49,9.3,88,50.47
13,2.05,24,4.5,68,60.14
4,3.03,18,4.8,93,55.05
13,5.56,89,9.1,15,63.38
78,5.2,43,4.4,92,33.02
82,3.88,1,1.5,98,24.48
86,3.65,91,0.2,13,54.35
64,0.58,62,6.4,89,48.14
80,0.09,63,7.7,78,41.76
18,0.18,87,5.2,85,70.56
14,0.38,26,0.9,51,65.89
94,3.57,62,3.2,92,40.94
81,6.54,102,8.9,75,33.74
30,4.86,104,2.4,38,68.61
27,7.2,118,1.1,42,65.21
55,3.11,110,0.7,91,56.45
22,9.07,60,4.9,85,42.36
93,7.66,21,2.8,61,24.36
81,2.83,89,5.5,29,51.75
56,1.97,30,6.7,12,46.8
57,9.46,96,4.7,94,38.64
34,6.26,95,2.2,84,55.27
96,3.06,82,1.0,94,44.79
78,8.23,106,3.2,5,45.12
72,5.81,97,0.7,81,51.49
72,6.11,52,8.6,69,35.49
77,2.62,87,9.0,42,48.48
90,3.56,23,4.8,27,37.52
81,2.11,105,3.2,67,58.98
92,4.85,24,9.2,1,29.23
88,5.02,25,9.1,26,32.98
60,8.1,2,5.4,40,15.98
36,7.66,7,2.7,82,30.87
9,0.83,48,9.3,29,66.42
4,2.53,70,7.6,51,67.54
22,2.67,39,8.5,40,60.92
99,1.04,68,7.1,70,39.84
89,8.95,23,8.6,3,20.15
45,3.43,42,0.1,92,47.21
58,3.39,59,1.4,54,54.85
13,6.62,14,9.7,77,34.47
93,6.69,62,5.4,64,30.63
3,8.53,0,8.3,85,31.56
80,0.51,110,9.8,20,64.75
12,7.86,74,1.9,69,54.76
46,8.96,57,9.6,97,23.58
63,0.23,47,0.7,80,52.18
0,9.93,32,5.7,25,46.46
76,1.4,32,5.3,40,53.89
71,9.5,55,8.4,68,26.19
87,0.78,88,0.6,0,61.46
28,9.66,72,1.3,59,43.78
35,3.74,48,0.4,19,62.66
49,7.89,49,1.5,41,39.68
14,7.71,10,3.6,23,43.84
87,8.68,75,5.3,88,32.85
91,7.03,93,8.1,85,33.74
90,0.98,30,2.2,98,35.09
52,0.81,84,2.3,6,73.22
16,5.13,29,1.2,21,57.78
42,7.77,26,3.3,34,49.09
25,0.76,18,9.8,44,54.18
25,1.97,57,2.3,27,72.79
36,1.95,39,3.7,60,49.33
8,5.79,60,1.1,1,61.03
41,2.98,80,0.8,66,62.09
29,4.03,18,6.8,82,40.28
81,8.41,1,6.9,74,14.0
30,0.95,79,0.2,6,75.85
46,5.6,52,0.6,18,52.95
80,8.95,5,6.9,72,15.3
22,4.69,68,5.9,58,56.29
35,4.96,87,1.8,16,63.64
44,2.54,20,3.0,51,47.06
81,8.64,66,1.8,43,34.97
78,6.9,27,4.2,50,26.4
52,3.68,16,7.3,73,41.86
17,2.16,63,1.9,94,67.46
58,0.23,2,5.2,82,40.58
60,9.12,89,0.8,13,44.82
90,9.56,47,7.1,84,15.33
100,1.16,84,8.9,98,41.45
37,6.04,104,0.9,59,61.56
13,9.01,96,3.8,11,64.56
54,8.33,38,3.3,28,34.03
30,5.13,45,7.0,51,46.1
9,1.4,40,8.7,2,66.4
95,2.5,97,4.2,68,47.83
66,8.84,70,1.1,85,32.59
59,8.61,55,6.0,96,31.75
68,8.67,71,4.0,3,41.81
25,6.81,38,3.3,89,41.01
32,9.3,19,2.2,44,40.94
41,2.39,105,7.8,89,61.68
8,6.58,15,7.3,77,45.53
23,8.46,1,2.6,20,43.36
18,8.36,21,5.0,31,41.9
83,8.27,100,3.9,88,35.17
96,0.61,109,4.2,92,53.73
2,1.05,81,4.1,99,70.92
63,4.65,94,2.6,96,44.58
89,8.22,109,6.6,95,33.34
70,7.21,54,3.9,10,42.41
13,7.07,79,0.1,61,54.09
67,5.81,42,9.2,51,31.99
21,0.01,72,7.1,43,75.11
44,4.17,17,8.2,32,44.42
17,9.98,64,9.9,60,44.09
